date,prec,tmax,tmin
198205,1,23.6,5.7
198206,1,20.7,1.8
198207,22,20.2,3.4
198208,0,23.4,5.6
198209,5,27.1,10.6
198210,59,26.6,12.8
198211,58,27.7,13.8
198212,101,29.7,15.4
198301,113,30.2,16.7
198302,51,30.4,15.9
198303,59,28.3,14.5
198304,13,27,11.8
198305,17,23.1,7.3
198306,18,20.6,3.9
198307,9,20.7,3.9
198308,9,22.1,4.9
198309,13,28.3,10
198310,63,26.8,12.7
198311,162,27.9,14.7
198312,150,27,15.2
198401,57,29,15.4
198402,37,30.3,15.4
198403,111,27.6,14.9
198404,10,25.3,9.6
198405,7,23.2,5.8
198406,11,19.1,2.9
198407,17,19.8,4.4
198408,9,23.6,6.6
198409,4,27.4,10.3
198410,80,27.9,13.7
198411,58,26.5,12.9
198412,64,28.7,15
198501,130,28.8,16.4
198502,73,27.9,15.9
198503,79,27.2,14
198504,4,25.9,9.2
198505,28,22.5,6.5
198506,2,21.4,3.4
198507,4,20.7,2.6
198508,12,24.8,6.8
198509,24,25.9,10.3
198510,115,28.5,13.7
198511,85,28.8,14.2
198512,139,27,14.9
198601,72,28.6,16.1
198602,47,28.2,14.7
198603,54,27.8,14
198604,36,25.2,11.5
198605,1,24.6,7.2
198606,18,20.7,3.7
198607,0,21.2,3.6
198608,7,24.7,7.4
198609,8,26,10.1
198610,149,26.3,12.5
198611,114,25.7,13.1
198612,172,27.8,14.9
198701,81,28.8,15.7
198702,96,30,17.2
198703,119,27.4,14.4
198704,32,27.6,12.2
198705,5,25.3,7.3
198706,1,19.7,2.2
198707,1,19.8,2.6
198708,26,22.1,5.6
198709,76,23.4,10
198710,45,26.2,12
198711,154,27.5,15.2
198712,91,28,16.4
198801,78,29.6,16.3
198802,48,28,16.3
198803,130,27.1,15.1
198804,66,24.5,10.6
198805,1,22.9,5.9
198806,13,19.2,2.4
198807,3,21.2,3
198808,1,24.1,6.5
198809,50,25.5,9.7
198810,75,25.7,12.5
198811,46,26.5,13.2
198812,103,25.9,14.5
198901,87,27,15.6
198902,191,24.5,15.3
198903,34,27.1,13.4
198904,41,22.8,9.8
198905,7,22.2,7.7
198906,59,19.8,4.5
198907,0,20.1,3
198908,5,24.6,7.2
198909,1,26.3,8.3
198910,40,26.7,11.5
198911,175,25.9,12.8
198912,128,27.4,14.6
199001,58,28.1,15.5
199002,85,26.9,13.6
199003,95,26.3,14.1
199004,102,24.5,11.1
199005,7,21.4,5.9
199006,0,20.3,3
199007,3,21.2,3.9
199008,0,22.9,5.2
199009,5,26.4,9.3
199010,63,28.1,13.2
199011,36,29.6,14.8
199012,116,28.4,15.6
199101,177,27.7,16.2
199102,99,27.9,15.2
199103,161,25.4,13.7
199104,2,25.1,8.8
199105,3,23,6.5
199106,6,19.7,3.7
199107,0,20.7,2.6
199108,0,23.7,6
199109,6,26.4,10.4
199110,48,28.2,13.7
199111,50,28.1,14.1
199112,122,26.9,14.6
199201,72,30.5,16.3
199202,88,31.4,16.3
199203,15,29.1,13.9
199204,14,27.8,11.7
199205,0,24.1,5.8
199206,2,21.2,3.3
199207,0,21.2,3.4
199208,10,21.6,5.2
199209,3,29.1,12.3
199210,20,29.6,13.4
199211,97,27,13.6
199212,107,28.6,16.1
199301,121,29.6,15.9
199302,61,27.7,15.9
199303,98,26.4,13.9
199304,37,25.7,10.5
199305,3,25,7.2
199306,1,20.7,2.6
199307,0,21.6,4.7
199308,6,23.1,6
199309,25,29.1,10.8
199310,172,26.6,14.4
199311,101,25.7,13.7
199312,116,27.7,15.7
199401,111,26.3,15.3
199402,166,25.9,15
199403,83,27.1,13.5
199404,27,25.8,10
199405,0,23.3,5.5
199406,0,19,1.8
199407,0,19.1,0.8
199408,4,22.5,4.9
199409,10,27.4,9.4
199410,68,26.2,11.1
199411,83,27.6,14.4
199412,174,28.7,15.2
199501,56,29.2,16.4
199502,96,29.8,16.1
199503,135,26.6,14.6
199504,78,24.4,10.4
199505,5,21.1,7
199506,0,19.9,2.2
199507,0,20.5,3.4
199508,5,23.8,6.5
199509,2,27.8,10.7
199510,72,28.3,13.6
199511,236,27.2,14.5
199512,192,26.1,14
199601,222,27.1,15.9
199602,227,25.7,15.6
199603,56,25.8,12.7
199604,49,23.1,9.8
199605,22,21.2,7.4
199606,2,20.2,3.4
199607,2,18.3,2.6
199608,9,21.8,6
199609,0,26.9,9.7
199610,78,28.6,13.8
199611,71,26.4,14.2
199612,104,27.2,15.5
199701,111,27.3,16.2
199702,51,28.9,15.8
199703,211,24,14.7
199704,35,22.8,8.8
199705,63,20.2,5.6
199706,2,20.4,2.9
199707,6,20.1,3.9
199708,4,24.3,6.5
199709,34,25.2,11.2
199710,24,26.6,12.4
199711,144,27.8,14
199712,100,28.6,15.7
199801,127,27.7,16.2
199802,97,28.8,16.4
199803,43,28.7,15.5
199804,6,27.7,11.6
199805,0,23.4,5.9
199806,0,22.8,3.1
199807,0,21.5,4.3
199808,0,23.1,5.6
199809,34,26.9,10.6
